Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",,
G. Raspadori,Napoli,"CF, LWF",25,2028-06-30,891,Italy,right,172,4.24,3.84,50,1.31,7.69,0.28,0.2,2.12,2.97,2.93,0.4,0.29,2.83,39.29,14.286,1.92,36.84,1.72,58.82,7.07,35.71,3.94,0.81,0.2,18.79,1.41,26.06,74.42,6.26,66.13,21.82,80.09,2.32,52.17,18.55,0.21,1.62,0.3,0.2,3.03,80,1.72,41.18,0.2,50,0.51,3.64,69.44,,
E. Shomurodov,Roma,"CF, AMF",29,2026-06-30,893,Uzbekistan,right,190,4,4,54.05,6.16,31.58,0.45,0.11,1.51,2.1,1.73,0.4,0.55,2.38,45.45,18.182,0.76,0,1.94,22.22,9.4,19.54,4,1.62,0.65,14.8,0.54,21.39,81.31,3.67,67.65,20.31,84.04,0.32,100,14.53,0.08,0.97,0.32,0.65,1.3,75,1.19,54.55,0.22,50,1.62,0.97,88.89,,
L. De Silvestri,Bologna,RB,36,2025-06-30,895,Italy,right,187,8.65,7.24,59.72,3.72,45.95,0.29,0.3,4.12,6.03,0.7,0.1,0.06,0.4,50,25,1.61,31.25,0.2,0,2.01,45,0.6,0.5,0.1,26.45,0.7,35.8,83.15,15.89,81.01,29.97,87.58,4.22,71.43,19.41,0.03,0.4,0,0.2,5.53,80,2.01,45,0.1,0,0.3,9.65,86.46,,
I. Doumbia,Venezia,RCMF,21,2029-06-30,901,"Italy, Côte d'Ivoire",right,187,7.19,6.99,48.57,4.4,40.91,0.37,0.4,3.5,4.32,2.2,0,0.14,1.2,33.33,0,0.9,11.11,2.6,65.38,7.49,40,1.2,1.4,0.3,15.38,1.1,23.97,79.17,6.99,65.71,21.78,86.24,1.3,7.69,15.6,0.06,0.5,0,0.1,3.4,73.53,1.1,18.18,0.1,0,0.5,3.2,50,,
Álex Valle,Como,LB,21,2026-06-30,907,Spain,left,178,9.53,7.74,70.51,1.89,31.58,0.85,0.2,3.47,4.95,1.79,0,0.02,0.5,20,0,1.79,50,1.49,53.33,4.76,56.25,0.79,1.49,0.5,32.15,1.59,44.36,83.89,17.17,79.19,39.69,88.5,3.08,45.16,16.58,0.04,0.6,0.2,0.2,4.76,81.25,1.29,69.23,0.4,0,0.3,7.94,61.25,,
T. Baldanzi,Roma,"AMF, CF, RWF",22,2028-06-30,908,Italy,left,170,5.28,4.86,76.6,0.62,33.33,0.15,0,1.45,2.14,3.41,0.1,0.12,1.86,16.67,5.556,0.93,33.33,4.66,55.56,10.24,44.44,3,2.79,1.14,25.34,1.55,33.31,84.78,7.34,61.97,31.55,87.21,0.93,55.56,14.93,0.06,0.83,0.31,0.21,3.1,73.33,1.45,50,0.31,33.33,0.93,3.52,76.47,,
E. Bove,Fiorentina,"LDMF, RDMF, LAMF",22,2028-06-30,910,Italy,right,176,8.9,8.51,61.63,2.67,37.04,0.8,0,3.07,4.12,1.58,0.1,0.11,0.59,16.67,16.667,0.49,20,1.88,68.42,6.92,45.71,1.68,1.38,0,22.25,2.08,32.14,84.92,8.6,65.52,29.97,88.12,1.68,47.06,16.49,0.11,0.89,0.2,0.3,3.26,54.55,1.09,54.55,0,0,0.59,3.07,64.52,,
R. Kolo Muani,Juventus,CF,26,2028-06-30,911,"France, Congo DR",right,187,3.06,4.54,41.3,2.57,34.62,0.14,0.1,1.09,1.55,2.96,0.59,0.34,1.78,61.11,33.333,1.19,8.33,4.45,40,9.98,27.72,4.25,1.38,0.1,11.06,1.48,15.02,72.37,2.17,72.73,13.83,77.86,0,0,14.31,0.09,1.19,0,0.4,0.89,77.78,1.19,66.67,0,0,1.09,1.09,63.64,,
A. Richardson,Fiorentina,"RDMF, RCMF",23,2029-06-30,912,"France, Morocco",left,197,8.29,7.7,55.13,3.55,47.22,0.28,0.1,3.85,5.49,1.28,0,0.08,0.59,66.67,0,0.1,0,1.38,64.29,6.71,42.65,0.79,1.38,0.3,30.39,1.28,43.91,89.44,12.04,81.15,42.04,91.08,1.78,55.56,15.96,0,0.2,0,0.1,6.61,74.63,0.79,50,0.2,0,0.39,4.93,74,,
K. Davis,Udinese,CF,27,2027-06-30,918,England,left,189,1.96,2.16,59.09,6.18,41.27,0.13,0.1,0.59,0.8,1.86,0.2,0.27,1.67,47.06,11.765,0.39,0,3.04,35.48,15.2,27.1,3.43,1.86,0.29,12.45,0.98,18.82,81.77,2.75,71.43,17.75,84.53,0.69,57.14,13.9,0.09,0.69,0,0.2,1.57,81.25,0.98,60,0,0,0.69,0.69,71.43,,
P. Zieliński,Internazionale,"LCMF, DMF, RCMF",30,2028-06-30,921,"Poland, Italy",right,180,5.96,3.52,55.56,1.56,56.25,0.15,0.2,3.91,5.85,1.47,0.2,0.3,1.37,42.86,14.286,0.88,33.33,0.88,66.67,4.3,43.18,1.17,2.74,0.1,41.63,1.56,54.63,91.95,17.49,87.15,50.81,94.62,2.93,63.33,16.91,0.09,0.88,0.1,0,8.89,85.71,1.56,43.75,0.29,33.33,0.68,7.43,89.47,,
L. Marianucci,Empoli,"CB, RCB",20,2026-06-30,921,Italy,right,0,9.09,7.33,74.67,5.86,45,0.47,0.49,3.22,3.87,0.29,0,0.06,0.29,33.33,0,0.49,20,0.39,25,1.37,42.86,0.29,0.1,0,18.18,0.39,31.56,81.73,13,69.17,25.5,87.74,5.57,59.65,20.17,0,0.1,0,0.1,4.79,63.27,1.27,30.77,0.39,75,0.1,6.06,69.35,,
D. Calabria,Bologna,RB,28,2025-06-30,921,Italy,right,177,7.92,6.84,62.86,2.25,47.83,0.33,0.1,3.42,5.74,2.25,0,0.01,0.49,0,0,2.93,33.33,1.95,60,4.01,46.34,0.88,1.17,0.1,37.92,0.78,50.52,84.14,19.45,76.88,43,90.91,4.98,50.98,19.07,0.09,0.78,0.29,0.59,7.62,82.05,2.44,60,0.49,40,0.49,9.77,74,,
M. Felici,Cagliari,LW,24,2027-06-30,922,Italy,right,182,6.83,6.64,52.94,1.85,36.84,0.33,0,3.03,3.41,4.2,0,0.07,0.88,44.44,0,1.46,40,5.76,55.93,11.23,46.96,2.54,2.93,0.39,17.08,1.56,23.82,74.59,7.03,65.28,21.87,77.23,0.49,60,13.99,0.1,1.07,0,0.2,1.17,50,1.56,62.5,0,0,0.68,4,53.66,,
L. Giannetti,Udinese,"LCB, RCB",31,2026-06-30,923,"Argentina, Italy",right,185,10.63,5.95,68.85,4.97,62.75,0.46,0.88,6.14,7.21,0.2,0.1,0.01,0.2,100,50,0,0,0.2,0,0.68,14.29,0.49,0.1,0,20.09,0,31.4,86.34,13.65,75,27.5,91.49,3.9,50,21.07,0,0.1,0,0,2.63,59.26,0.2,100,0.1,100,0.39,5.46,64.29,,
M. Pessina,Monza,"RCMF, AMF",27,2027-06-30,928,Italy,left,187,6.79,4.07,71.43,1.65,58.82,0,0,3.88,4.63,0.48,0,0.01,0.29,0,0,0.58,16.67,0.68,57.14,4.85,44,0.48,0.97,0.29,32,1.26,45.48,87.85,10.09,68.27,41.31,91.55,3.59,56.76,18.23,0.01,0.19,0,0,4.66,79.17,1.07,45.45,0.19,0,0.29,5.04,57.69,,
C. Lykogiannis,Bologna,LB,31,2025-06-30,930,Greece,left,191,6.19,5.03,55.77,3.29,64.71,0.82,0.29,2.9,4.89,2.32,0,0.03,0.39,25,0,4.94,37.25,0.48,80,2.71,42.86,0.39,0.77,0.1,35.13,0.77,44.71,79.65,15.29,68.35,33.77,90.26,6.1,55.56,22.9,0.14,1.65,0.1,0.58,6.39,68.18,4.74,36.73,0.77,25,0.1,9.77,73.27,,
N. Casale,Bologna,"LCB, RCB",27,2027-06-30,931,Italy,right,191,9.86,7.15,63.51,5.7,54.24,0.31,0.87,5.12,8.24,0.19,0,0.04,0.29,33.33,0,0,0,0.19,50,1.26,38.46,0.68,0.29,0,31.8,0.29,48.63,91.05,15.95,86.06,45.73,92.6,2.9,66.67,20.59,0.05,0.1,0,0.19,3.38,88.57,0.1,0,0.1,100,0.19,6.96,62.5,,
Kike Pérez,Venezia,"RCMF, LCMF",28,2025-06-30,937,Spain,left,184,9.32,10.09,56.19,2.4,36,0.38,0.1,3.36,4.47,2.88,0,0.12,1.15,50,0,1.63,58.82,2.4,48,7.88,34.15,0.38,1.54,0,25.84,1.34,40.34,78.81,13.54,65.25,33.62,83.43,5.19,55.56,19.05,0.13,1.06,0.29,0.19,6.92,61.11,2.69,64.29,0.86,44.44,0.96,8.36,74.71,,
J. Palomino,Cagliari,"RCB, CB",35,2025-06-30,950,"Argentina, Bulgaria",left,188,10.52,7.67,76.54,2.46,57.69,0,0.47,4.64,5.35,0.09,0.09,0.02,0.09,100,100,0,0,0,0,0.47,40,0.57,0.95,0,28.71,0.09,44.15,88.63,17.34,78.69,39.32,92.29,4.83,58.82,20.74,0,0,0,0,4.26,77.78,0.38,50,0.09,0,0.28,7.48,62.03,,
M. Brescianini,Atalanta,"AMF, LWF, RWF",25,2027-06-30,952,Italy,left,188,4.25,3.97,59.52,1.89,35,0,0,1.89,2.49,3.03,0.28,0.22,1.23,38.46,23.077,2.08,18.18,3.5,62.16,10.02,36.79,2.55,2.27,0.19,25.71,0.66,31.67,81.79,8.79,75.27,28.27,87.63,1.42,53.33,16.27,0.11,0.47,0.38,0.47,3.21,79.41,1.61,35.29,0.66,14.29,0.47,2.84,80,,
G. Kastanos,Hellas Verona,"AMF, LCMF, RWF",27,2026-06-30,952,Cyprus,left,179,7.56,6.05,56.25,3.97,42.86,1.12,0.28,3.12,3.36,1.51,0.09,0.08,1.89,20,5,0.57,33.33,1.51,43.75,6.05,37.5,0.95,1.23,0.09,17.87,1.7,26.28,75.18,10.12,63.55,22.69,79.58,3.03,50,18.04,0.04,0.57,0.66,0.09,5.67,58.33,1.32,57.14,0.95,40,0.57,5.39,70.18,,
M. Hummels,Roma,CB,36,2025-06-30,958,Germany,right,191,12.12,8.08,81.4,3.85,63.41,1.54,0.47,4.32,5.43,0.47,0,0.04,0.66,14.29,0,0.28,0,0.47,80,1.6,70.59,0.85,0.47,0.09,26.4,0.28,39.08,89.9,13.9,81.08,36.64,91.54,2.25,70.83,19.19,0,0,0,0,3.85,73.17,0.47,20,0.19,0,0.38,6.01,76.56,,
F. Daniliuc,Hellas Verona,"RCB, RB",24,2026-06-30,966,"Austria, Romania",right,188,9.13,9.22,65.66,3.26,60,0.19,0.09,2.89,3.02,1.21,0,0.03,0.37,50,0,0.56,50,0.84,88.89,2.52,44.44,0.56,0.56,0.09,20.22,0.19,31.21,86.87,14.81,81.76,28.04,91.36,2.7,48.28,17.76,0,0.09,0,0,4.29,76.09,0.56,66.67,0.19,50,0.19,5.59,76.67,,
S. Chukwueze,Milan,"RAMF, RW",25,2028-06-30,971,Nigeria,left,172,4.26,3.52,60.53,1.58,41.18,0.14,0,2.04,3.1,5.65,0.28,0.2,2.69,24.14,10.345,3.8,41.46,8.16,42.05,12.7,36.5,3.8,4.26,0.28,26.51,0.93,33.65,79.89,6.21,65.67,27.71,86.29,2.22,62.5,19.12,0.21,2.04,0.19,0.83,2.22,75,5.28,47.37,0.56,16.67,1.76,6.21,71.64,,
F. Dele-Bashiru,Lazio,"AMF, LCMF",24,2026-06-30,978,"England, Nigeria",right,186,4.05,4.42,54.17,1.84,15,0,0.09,1.66,2.26,2.39,0.28,0.11,1.38,26.67,20,0.92,0,2.94,68.75,9.48,37.86,2.94,1.93,0.37,22.27,0.37,31.01,86.65,5.61,78.69,29.82,89.2,0.46,60,16.02,0.05,0.55,0,0,2.39,92.31,0.55,50,0,0,0.37,1.75,57.89,,
A. Matturro,Genoa,"LCB, LB",20,2026-06-30,979,"Uruguay, Italy",left,189,7.81,5.15,62.5,2.67,55.17,0.22,0.55,4.41,5.22,1.01,0,0.03,0.28,100,0,0.55,33.33,0.64,85.71,1.84,50,0.83,0.92,0.18,19.49,0.46,30.89,83.33,11.86,69.77,26.66,88.28,3.68,55,22.04,0.01,0.28,0,0.28,2.57,67.86,0.83,44.44,0.18,0,0.46,5.52,60,,
Dailon Livramento,Hellas Verona,"CF, AMF, LWF",23,2028-06-30,990,"Netherlands, Cape Verde Islands",right,185,4.73,5.55,55.74,7,32.47,0.32,0.09,1.36,1.6,2,0.09,0.16,1.09,33.33,8.333,2.27,8,3,48.48,8.09,34.83,2.73,1.45,0.18,8.36,0.55,13.09,61.11,3,63.64,10.64,72.65,0.36,50,18.13,0.08,0.45,0,0.18,0.91,60,1.36,20,0,0,0.55,1.27,64.29,,
B. Gilmour,Napoli,"DMF, RCMF, LCMF",23,2029-06-30,991,Scotland,right,170,5.36,4.99,60,1.82,50,0.23,0,2.18,2.76,0.54,0,0.03,0.54,0,0,0.45,40,0.45,60,3.09,52.94,0.09,0.91,0.09,44.95,1.18,58.49,89.13,16.07,72.88,53.95,92.42,4.09,51.11,17.53,0.09,0.91,0.18,0.36,6.9,76.32,2.09,56.52,0.54,33.33,0.82,6.9,78.95,,
T. Noslin,Lazio,"CF, LAMF",25,2029-06-30,992,Netherlands,right,182,4.17,4.35,52.08,5.99,39.39,0,0,1.91,2.84,1.81,0.18,0.2,1.45,37.5,12.5,1.27,21.43,1.72,57.89,7.71,35.29,2.99,1.45,0.09,15.7,1.36,20.14,76.58,3.45,63.16,17.96,81.31,0.91,60,16.65,0.06,0.54,0.27,0.36,1.36,60,1.72,52.63,0.27,0,0.82,1.91,71.43,,
L. Pellegrini,Lazio,LB,26,2026-06-30,1005,Italy,left,178,10.39,8.24,58.7,1.7,52.63,0.68,0.18,5.1,7.7,3.67,0,0.05,0.9,40,0,5.37,40,1.97,59.09,5.19,44.83,0.99,1.97,0.18,31.52,0.99,43.07,77.75,17.82,73.87,32.6,88.46,5.55,46.77,21.98,0.2,1.34,0,0.81,6.36,74.65,4.93,50.91,0.36,75,0.63,9.58,77.57,,
Þ. Helgason,Lecce,"AMF, RCMF, CF",24,2025-06-30,1016,Iceland,right,178,5.31,4.61,55.77,2.75,35.48,0.46,0.18,2.39,3.1,1.68,0,0.11,1.06,33.33,0,1.06,50,1.24,64.29,4.43,36,1.33,1.51,0.53,15.86,0.89,22.23,76.49,5.49,64.52,20.11,77.97,1.06,75,17.75,0.14,1.59,0.27,0.62,3.1,77.14,2.04,60.87,0.27,0,0.53,3.9,70.45,,
G. Leoni,Parma,"RCB, LCB, CB",18,2027-06-30,1023,Italy,right,193,8.01,4.57,69.23,2.38,66.67,0,0.7,4.84,5.71,0.09,0.09,0.02,0.09,100,100,0.26,0,0.09,0,0.7,37.5,0.26,0.26,0,32.11,0.44,43.99,88.4,16.01,77.47,40.65,92.42,3.08,42.86,20.25,0,0,0,0,3.96,57.78,0.53,0,0.26,33.33,0,5.37,59.02,,
A. Obert,Cagliari,"LB, LWB",22,2029-06-30,1033,Slovakia,left,186,12.11,10.19,58.12,3.92,46.67,1.01,0.52,5.23,5.5,0.96,0.09,0.14,0.7,37.5,12.5,0.96,45.45,0.7,37.5,4.01,39.13,0.87,1.74,0.44,20.65,0.61,33.46,76.04,15.16,62.64,28.23,82.72,4.36,38,18.47,0.03,0.52,0,0.26,4.97,59.65,1.48,47.06,0.44,40,0.35,7.93,59.34,,
R. Sottil,Milan,LAMF,25,2027-06-30,1040,Italy,right,180,1.9,1.47,64.71,1.3,33.33,0,0,0.95,1.43,6.84,0.09,0.15,1.99,26.09,4.348,4.24,26.53,7.87,65.93,14.19,59.76,3.55,5.37,1.82,17.39,2.94,26.48,75.82,4.07,53.19,21.2,87.76,1.38,31.25,18.25,0.08,0.61,0,0.61,0.87,40,2.77,40.63,0.09,0,0.52,3.12,69.44,,
A. Duncan,Venezia,"RCMF, LCMF",32,2026-06-30,1041,"Ghana, Italy",left,178,5.01,4.5,44.23,1.64,68.42,0.44,0.17,2.68,3.39,2.51,0,0.06,1.3,26.67,0,0.86,50,2.94,55.88,7,40.74,0.52,0.86,0.26,25.59,0.95,38.82,84.41,10.81,70.4,33.63,90.49,4.41,43.14,17.58,0.09,0.95,0.17,0.35,5.79,68.66,2.68,58.06,0.69,25,1.12,5.45,80.95,,
J. Yeboah,Venezia,"CF, RWF",24,2028-06-30,1041,"Germany, Ecuador",left,170,1.9,2.42,64.29,1.21,35.71,0,0,0.35,0.48,4.41,0.09,0.29,1.99,43.48,4.348,1.73,30,5.53,53.13,11.76,39.71,3.11,2.59,0.26,17.46,1.3,22.22,73.15,5.71,68.18,19.63,78.85,0.86,30,15.4,0.14,1.21,0.17,0.43,2.16,68,2.33,44.44,0.43,40,0.95,3.11,75,,
G. Gaetano,Cagliari,"AMF, CF",24,2025-06-30,1043,Italy,right,175,4.23,4.23,57.14,3.02,37.14,0.22,0.09,1.64,2.07,2.16,0.17,0.27,2.33,22.22,7.407,1.21,28.57,2.33,48.15,8.02,37.63,3.19,0.95,0.09,19.76,0.95,26.75,76.13,7.77,63.33,23.64,80.29,2.07,50,18.28,0.15,1.21,0.17,0.52,4.23,57.14,2.07,66.67,0.43,60,1.47,3.88,77.78,,
F. Parisi,Fiorentina,"LWB, LB, LW",24,2028-06-30,1050,Italy,left,178,7.71,8.91,51.92,2.49,44.83,0.11,0.09,3,3.74,2.4,0.09,0.04,0.51,66.67,16.667,1.2,28.57,2.57,66.67,7.03,48.78,0.94,1.63,0.69,20.23,2.23,29.31,81.29,10.11,64.41,23.49,88.69,4.71,56.36,18.28,0.04,0.26,0.09,0.17,2.66,77.42,1.63,57.89,0.51,50,0.51,6.09,61.97,,
A. Hainaut,Parma,RB,23,2026-06-30,1071,France,right,176,10.67,6.81,58.02,3.45,58.54,0.27,0.34,6.47,7.02,1.85,0.08,0.03,0.42,40,20,1.76,52.38,1.43,52.94,4.03,43.75,0.67,1.6,0.5,20.67,0.92,28.49,78.17,12.35,72.79,24.03,85.66,2.69,28.13,18.43,0.02,0.17,0,0,3.61,55.81,2.27,55.56,0,0,0.5,5.38,68.75,,
A. Candela,Venezia,"RWB, RCB, RB",24,2027-06-30,1081,Italy,right,185,8.41,8.24,54.55,1.83,59.09,0,0.25,3.91,4.68,1.83,0,0.01,0.42,0,0,2.08,36,1.5,72.22,3.66,40.91,0.83,1.42,0.42,20.06,0.5,29.06,79.08,10.99,71.97,23.64,85.92,3.33,57.5,18.26,0.11,0.67,0,0.42,3.5,78.57,1.67,60,0,0,0.25,6.24,68,,
G. Fabbian,Bologna,"AMF, RCMF",22,2028-06-30,1082,Italy,right,186,2.83,3.16,47.37,5.32,40.63,0.31,0.17,1.16,2.18,1.33,0.25,0.15,1.08,38.46,23.077,0.75,44.44,0.91,54.55,7.24,31.03,3.08,0.58,0.17,10.73,1.75,14.72,81.92,3.16,57.89,13.14,87.34,0.83,30,14.9,0.06,0.58,0.08,0.08,1.5,50,0.75,66.67,0.17,50,0.75,0.91,72.73,,
C. Kabasele,Udinese,"RCB, CB",34,2025-06-30,1082,"Congo DR, Belgium",right,187,8.98,6.65,62.5,4.16,64,0,0.25,4.82,6.08,0.42,0.08,0.12,1,25,8.333,0.25,0,0.08,100,1.58,42.11,1.33,0.91,0,28.53,1,39.76,87.24,16.8,77.23,34.02,92.67,5.57,56.72,19.5,0.01,0.17,0.08,0.08,5.07,75.41,0.5,16.67,0.25,66.67,0.33,7.74,74.19,,
P. Ciurria,Monza,"RWF, AMF, LWB",30,2026-06-30,1083,Italy,left,178,6.4,6.07,64.38,2.33,35.71,0.31,0.17,2.24,2.82,1.5,0.08,0.02,0.66,25,12.5,2.41,37.93,1.5,27.78,3.91,27.66,0.91,1.16,0.33,20.61,0.91,26.51,79.31,7.4,65.17,21.52,85.33,2.99,63.89,18.38,0.05,0.5,0.08,0.25,2.58,74.19,2.16,50,0.17,50,0.33,4.74,73.68,,
T. Dallinga,Bologna,CF,24,2028-06-30,1083,Netherlands,right,190,4.4,3.99,52.08,6.81,45.12,0.54,0.17,1.99,3.21,1.33,0.17,0.31,1.99,37.5,8.333,0.25,0,0.83,70,8.81,24.53,4.24,0.58,0.08,12.38,1.33,18.53,80.27,3.99,68.75,17.7,81.69,0.58,71.43,15.23,0,0.17,0.08,0,2.08,76,0.83,70,0.08,0,0.58,1.58,68.42,,
Pedro,Lazio,"AMF, RAMF, CF",37,2025-06-30,1093,Spain,right,169,4.2,5.02,52.46,0.41,40,0.28,0,1.4,2.36,3.79,0.66,0.39,2.22,40.74,29.63,1.98,45.83,2.72,60.61,6.51,49.37,3.38,2.39,0.33,29.73,1.56,36.81,85.91,7.99,72.16,33.02,88.78,1.89,78.26,16.43,0.21,1.32,0.58,0.74,3.62,79.55,2.8,55.88,0.74,66.67,1.4,4.78,84.48,,
J. Fazzini,Empoli,"AMF, LWF",22,2027-06-30,1096,Italy,right,178,6.24,6.32,63.64,2.38,34.48,0.74,0.08,1.56,1.75,3.2,0.16,0.16,1.07,38.46,15.385,1.31,12.5,4.68,52.63,13.71,36.53,2.14,2.3,0.41,13.3,1.81,21.68,76.52,6.73,63.41,19.05,83.19,1.48,38.89,16.8,0.01,0.16,0.33,0.25,2.3,53.57,1.15,64.29,0.49,50,0.82,3.28,72.5,,
T. Anjorin,Empoli,RCMF,23,2027-06-03,1102,"England, Nigeria",right,186,8.17,7.11,59.77,2.04,44,0.39,0.16,3.59,4.27,2.53,0.08,0.05,1.55,26.32,5.263,1.14,21.43,3.43,47.62,8.74,39.25,0.74,2.37,0.16,22.54,1.47,32.59,82.21,11.68,76.22,28.83,87.25,2.61,53.13,19.97,0.11,0.9,0.41,0.74,5.31,76.92,1.63,55,0.57,57.14,0.9,6.53,72.5,,
A. Atta,Udinese,"RW, RCMF, LCMF",22,2026-06-30,1107,"France, Benin",right,189,5.45,4.15,56.86,2.52,41.94,0.1,0.24,3.01,3.87,3.5,0,0.12,1.71,28.57,0,1.63,35,4.07,58,10.33,40.94,1.95,2.76,0.24,29.11,0.89,38.62,84.21,10.08,74.19,34.55,88.94,2.44,50,16.61,0.08,0.89,0.33,0.49,4.47,80,2.28,60.71,0.57,57.14,1.22,5.12,77.78,,
Álex Jiménez,Milan,"RB, RWB, LB",19,2028-06-30,1116,Spain,right,171,9.68,7.98,64.65,1.77,45.45,0.11,0.24,4.44,6.32,4.03,0,0.05,0.73,44.44,0,2.98,29.73,4.44,63.64,8.39,50.96,1.77,3.63,0.65,23.95,0.97,34.92,78.75,9.44,68.38,30.16,85.03,2.1,57.69,18.32,0.09,0.73,0.08,0.16,3.23,62.5,2.02,56,0.24,0,0.89,5.73,71.83,,
M. Šverko,Venezia,LCB,27,2026-06-30,1122,"Germany, Croatia",left,187,8.26,5.21,73.85,3.13,51.28,0.19,0.32,4.25,4.92,0.56,0.08,0.02,0.24,33.33,33.333,0.16,50,0.4,100,2.65,66.67,0.16,0.88,0.24,25.11,0.64,37.22,86.64,17.57,79.91,32.49,89.63,4.57,66.67,19.72,0.01,0.08,0,0.08,6.34,77.22,0.8,60,0.48,50,0.4,8.42,66.67,,
H. Rafia,Lecce,"LCMF, AMF",26,2026-06-30,1123,"Tunisia, France",right,181,8.09,9.86,60.16,2.4,33.33,0.28,0.08,1.92,2.26,2.08,0,0.04,0.8,20,0,1.28,56.25,2,56,8.82,40,0.8,0.56,0.16,24.76,1.92,37.83,83.9,12.34,72.08,33.9,87.94,2.64,45.45,16.81,0.09,1.04,0.24,0.48,5.53,75.36,2.48,51.61,0.8,20,0.48,6.81,78.82,,
S. Serdar,Hellas Verona,"RCMF, LCMF",28,2028-06-30,1135,"Germany, Türkiye",right,184,6.82,6.58,53.01,2.85,47.22,0.43,0.16,2.93,3.22,1.67,0.08,0.18,2.06,23.08,3.846,0.63,37.5,1.98,48,5.79,41.1,1.43,1.03,0.08,20.78,0.87,29.89,78.78,10.7,61.48,26.25,83.99,3.01,42.11,17.81,0.04,0.4,0.08,0.4,6.11,62.34,1.67,23.81,0.56,28.57,0.32,5.55,70,,
G. Magnani,Hellas Verona,"RCB, LCB",29,2025-06-30,1152,Italy,right,191,9.06,5.31,69.12,4.69,58.33,0.16,0.39,5.23,5.4,0.08,0.08,0.1,0.7,11.11,11.111,0.16,0,0.23,0,1.17,46.67,0.86,0.55,0,19.14,0.94,29.84,82.2,11.88,71.05,25.55,88.38,4.14,47.17,22.4,0,0.08,0,0,3.98,54.9,0.23,0,0.23,33.33,0,5.39,60.87,,
T. Pobega,Bologna,"LDMF, AMF, LCMF",25,2027-06-30,1157,Italy,left,188,7.7,6.22,62.5,2.64,41.18,0.52,0.31,3.5,5.84,1.09,0.16,0.13,1.32,41.18,11.765,0.54,28.57,0.62,62.5,3.19,41.46,1.09,0.39,0,20.85,0.78,30.88,83.63,9.33,66.67,27.85,88.55,2.57,39.39,18.85,0.07,0.54,0,0.23,5.29,67.65,0.86,45.45,0.54,14.29,0.31,4.67,73.33,,
S. El Shaarawy,Roma,"LW, LWB, RW",32,2025-06-30,1158,"Italy, Egypt",right,178,4,4.16,54.72,1.41,27.78,0.1,0,1.65,2.18,3.76,0.23,0.16,1.72,45.45,13.636,2.51,34.38,3.06,58.97,7.29,41.94,3.21,2.67,1.18,26.89,0.78,34.34,81.51,8.7,71.17,29.95,87.43,1.96,48,16.46,0.14,1.02,0.39,0.47,2.59,63.64,4.39,57.14,0.39,80,2.12,6.59,77.38,,
Y. Karamoh,Torino,"CF, LW, LAMF",26,2025-06-30,1161,"Côte d'Ivoire, France",right,185,3.02,2.33,53.33,1.47,21.05,0,0.08,1.78,2.25,2.79,0,0.19,1.86,25,0,2.09,18.52,4.96,39.06,12.79,29.09,3.18,2.87,0.47,15.74,1.01,21.32,69.09,4.11,49.06,18.53,76.57,0.78,30,19.18,0.03,0.39,0.31,0.23,1.32,52.94,2.02,50,0.62,12.5,0.78,2.33,73.33,,
Juan Jesus,Napoli,LCB,33,2025-06-30,1164,Brazil,left,185,8.04,5.88,71.05,2.86,54.05,0.21,0.15,3.71,5.11,0.08,0,0.03,0.23,0,0,0,0,0.08,100,0.54,42.86,0.23,0.15,0.08,48.94,0.39,62.16,91.79,22.81,83.39,55.9,95.57,6.26,58.02,21.16,0.01,0.08,0,0.08,5.49,73.24,0.31,50,0.15,100,0.15,9.43,74.59,,
I. Van der Brempt,Como,RB,23,2026-06-30,1165,Belgium,right,187,8.19,8.5,62.73,2.24,44.83,0.22,0.23,2.7,3.89,2.09,0,0.06,0.46,33.33,0,1.7,22.73,2.47,62.5,5.1,53.03,0.93,1.31,0.15,27.27,1.08,35.38,82.97,10.43,74.07,31.44,88.7,2.24,48.28,18.05,0.04,0.39,0,0.23,3.24,69.05,1.55,40,0.08,0,0.31,6.64,63.95,,
